page_url,page_title,question,answer,confidence
https://joinvoy.zendesk.com/hc/en-gb/articles/20168038957844-Why-doesn-t-VOY-mention-prescription-medications-by-name,Why doesn’t VOY mention prescription medications by name? – Voy,Why doesn't VOY mention prescription medications by name?,"At Voy, we're committed to providing you with the most appropriate and effective treatment for your weight loss journey. We don't mention specific prescription medications upfront because choosing the right treatment should always be made with your clinician once they know more about your circumstances. Advertising restrictions in the UK prevent us from presenting all of our treatment options until you've had a clinical consultation, ensuring you receive personalized advice based on your individual health profile.",0.95
https://joinvoy.zendesk.com/hc/en-gb/articles/32299448990356-Information-about-Wegovy,Information about Wegovy – Voy,What is Wegovy?,"Wegovy contains a hormone called GLP-1 that occurs naturally in the gut. Its purpose is to regulate appetite and provide a feeling of fullness for an extended period, helping to reduce cravings and keep you satisfied after meals. By targeting the receptors responsible for appetite in the brain, this medication helps to lower the body's natural ‘set point’, which is the weight it strives to maintain. Since Wegovy reduces your appetite, it gives you the opportunity to make healthier choices and reduce your calorie intake to optimise your weight loss.",0.95
https://joinvoy.zendesk.com/hc/en-gb/articles/32299448990356-Information-about-Wegovy,Information about Wegovy – Voy,How does Wegovy work?,"Wegovy works by reducing appetite, reducing cravings, and lowering your body's set point. This helps you to feel less hungry, make healthier choices, and lose more weight before reaching a plateau.",0.9
https://joinvoy.zendesk.com/hc/en-gb/articles/32299448990356-Information-about-Wegovy,Information about Wegovy – Voy,How to take Wegovy?,"You need to inject Wegovy once a week (on the same day each week), under the skin. It should be injected in the abdomen (keep 5cm away from your belly button), upper legs or upper arms. We advise you to mix up your injection sites each week to minimise discomfort.",0.9
https://joinvoy.zendesk.com/hc/en-gb/articles/32299448990356-Information-about-Wegovy,Information about Wegovy – Voy,How to store Wegovy?,"You can keep the pen for 6 weeks when stored at a temperature below 30°C or in a refrigerator (2°C to 8°C). Do not freeze your medication and keep it away from the freezer compartment. When not using the pen, keep the pen cap on to protect it from light. Start using your treatment within 7 days of receiving it and finish within 6 weeks from the date on the Voy pharmacy label. Dispose of used needles and finished pens in the provided sharps bin and do not dispose of via wastewater or household waste.",0.85
https://joinvoy.zendesk.com/hc/en-gb/articles/33213821626772-What-is-the-treatment-titration-pathway,What is the treatment titration pathway? – Voy,How do I change my dose?,"You can adjust your dosage directly from your account. Based on your current dose, you'll have the option to increase, maintain, or lower the strength. If you still need help, please speak to our Customer Support Team either via livechat from your account, or by emailing help@joinvoy.com and our team will be there to support you. So that we can update your plan before your next order, please let us know at least 3 days before your next order if you'd like to make any changes. You can check your next order date and current strength in your account under Manage Plans and Orders. We're working hard to give you more flexibility and autonomy in your treatment plan, if you have any feedback or suggestions, we'd love to hear them, just speak to our team.",0.95
https://joinvoy.zendesk.com/hc/en-gb/articles/32242827773716-Information-about-Mounjaro,Information about Mounjaro – Voy,What is Mounjaro?,Mounjaro is a new medication that activates the receptors of two hormones found in the digestive tract known as GLP-1 and GIP which increase after we eat. They combine to provide a feeling of fullness for an extended period. By also targeting receptors in the brain it helps to lower the ‘set point’ which is the weight it ordinarily strives to maintain. Mounjaro gives you the opportunity and makes it easier to opt for healthier choices to reduce your calorie intake to optimise your weight loss.,0.9
https://joinvoy.zendesk.com/hc/en-gb/articles/32242827773716-Information-about-Mounjaro,Information about Mounjaro – Voy,How does Mounjaro work?,"Mounjaro reduces appetite, reduces cravings, and reduces the set point, allowing for more weight loss before reaching a plateau.",0.9
https://joinvoy.zendesk.com/hc/en-gb/articles/32242827773716-Information-about-Mounjaro,Information about Mounjaro – Voy,Why is there excess liquid after my fourth dose?,"Every Mounjaro Kwikpen comes with four doses of medication and enough liquid to prime your pen before every dose. This means that you will see an excess of liquid in your pen after you’ve taken your four doses. This is to be expected and should not be something to worry about. Please do not attempt to take more than 4 doses of your medication, attempting to use your pen more than four times will lock your pen and you’ll no longer be able to access the liquid.",0.9
https://joinvoy.zendesk.com/hc/en-gb/articles/32242827773716-Information-about-Mounjaro,Information about Mounjaro – Voy,Where can I find the expiry date for my Mounjaro pen?,You can find the expiry date of your medication on the side of your medication box. This will be shown as ‘EXP: DATE’. The expiry date refers to the end of the month that is noted.,0.9
